DATAPOINT407 -4.9e-324
DATAPOINT406 -4.9e-324
DATAPOINT405 -4.9e-324
DATAPOINT404 -4.9e-324
DATAPOINT403 -4.9e-324
DATAPOINT402 -4.9e-324
DATAPOINT401 -4.9e-324
DATAPOINT400 -4.9e-324
DATAPOINT359 -4.9e-324
DATAPOINT358 -4.9e-324
BARGRAPH5 -4.9e-324
DATAPOINT369 -4.9e-324
DATAPOINT368 -4.9e-324
DATAPOINT367 -4.9e-324
DATAPOINT366 -4.9e-324
DATAPOINT365 -4.9e-324
DATAPOINT364 -4.9e-324
DATAPOINT363 -4.9e-324
DATAPOINT362 -4.9e-324
DATAPOINT361 -4.9e-324
DATAPOINT360 -4.9e-324
DATAPOINT379 -4.9e-324
DATAPOINT378 -4.9e-324
DATAPOINT377 -4.9e-324
DATAPOINT376 -4.9e-324
DATAPOINT375 -4.9e-324
DATAPOINT374 -4.9e-324
DATAPOINT373 -4.9e-324
DATAPOINT372 -4.9e-324
DATAPOINT371 -4.9e-324
DATAPOINT370 -4.9e-324
DATAPOINT389 -4.9e-324
DATAPOINT388 -4.9e-324
DATAPOINT387 -4.9e-324
DATAPOINT386 -4.9e-324
DATAPOINT385 -4.9e-324
DATAPOINT384 -4.9e-324
DATAPOINT383 -4.9e-324
DATAPOINT382 -4.9e-324
DATAPOINT381 -4.9e-324
DATAPOINT380 -4.9e-324
BARGRAPH1 -4.9e-324
DATAPOINT399 -4.9e-324
DATAPOINT398 -4.9e-324
DATAPOINT397 -4.9e-324
DATAPOINT396 -4.9e-324
DATAPOINT395 -4.9e-324
DATAPOINT394 -4.9e-324
DATAPOINT393 -4.9e-324
DATAPOINT392 -4.9e-324
DATAPOINT391 -4.9e-324
DATAPOINT390 -4.9e-324
BlinkOn 1
